filecode,inputLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,TotalQ,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Multi,Codes,1675,Account
09S,1,O,AXL 21JAN12 11.0 C,AXL,2012-01-21,11,C,2012-01-03 13:26:39,-8,,NASDAQOM,-8,0.25,200,-4.2,-195.8,0,100,O,O,IB9048
09S,2,O,AXL 18FEB12 12.0 C,AXL,2012-02-18,12,C,2012-01-03 13:51:46,-5,,CBOE,-5,0.3,150,-3.63,-146.37,0,100,O,O,IB9048
09S,3,S,AXL,AXL,,,,2012-01-05 11:27:35,300,,ATD,100,10.9299,-1092.99,-0.82,1093.81,0,1,P;O,O,IB9048
09S,4,S,AXL,AXL,,,,2012-01-05 11:27:35,300,,IDEAL,100,10.93,-1093,-0.12,1093.12,0,1,P;O,O,IB9048
09S,5,S,AXL,AXL,,,,2012-01-05 11:27:35,300,,IDEAL,100,10.93,-1093,-0.47,1093.47,0,1,P;O,O,IB9048
09S,6,O,ASH 18FEB12 70.0 C,ASH,2012-02-18,70,C,2012-01-09 14:36:44,-8,,CBOE,-8,0.25,200,-5.8,-194.2,0,100,O,O,IB9048
09S,7,O,ASH 18FEB12 70.0 C,ASH,2012-02-18,70,C,2012-01-09 14:43:49,-8,,CBOE,-8,0.25,200,-5.8,-194.2,0,100,O,O,IB9048
09S,8,S,CALX,CALX,,,,2012-01-13 15:53:06,600,,NYSE,100,7,-700,-0.57,700.57,0,1,P;O,O,IB9048
09S,9,S,CALX,CALX,,,,2012-01-13 15:56:47,600,,NYSE,100,7,-700,0.13,699.87,0,1,P;O,O,IB9048
09S,10,S,CALX,CALX,,,,2012-01-13 15:56:51,600,,NYSE,169,7,-1183,-0.37,1183.37,0,1,P;O,O,IB9048
09S,11,S,CALX,CALX,,,,2012-01-13 15:57:22,600,,NYSE,231,7,-1617,-0.51,1617.51,0,1,P;O,O,IB9048
09S,12,O,C 18FEB12 26.0 P,C,2012-02-18,26,P,2012-01-17 12:49:29,-10,,CBOE,-10,0.62,620,-7.26,-612.74,0,100,O,O,IB9048
09S,13,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-18 13:31:17,5,,ISE,1,11.71,-1171,-1.02,1172.02,0,100,P;O,O,IB9048
09S,14,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-18 13:31:17,-5,,ISE,-1,9.54,954,-1.04,-952.96,0,100,P;O,O,IB9048
09S,15,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-18 13:31:17,-5,,ISE,-1,9.52,952,-1.04,-950.96,0,100,P;O,O,IB9048
09S,16,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-18 13:31:17,5,,ISE,1,11.35,-1135,-1.02,1136.02,0,100,P;O,O,IB9048
