filecode,Symbol,Trade_Time,Underlying,Expiry,Strike,O_Type,Q,Price,Basis,Realized_PL,Codes,TotalQ,bkrType,yr,inputLine,SecType,Account,bkrGroup
60518S,AMD 19JAN13 7.5 P,3/28/2011 15:53,AMD,2013-01-19 00:00:00,7.50,P,-10,1.315355,-1315.36,-3792.26,ST,10,allocation,12,1,O,IB9048,626
60518S,ATML 19JAN13 12.5 P,3/28/2011 15:59,ATML,2013-01-19 00:00:00,12.50,P,-10,2.892855,-2892.86,-3414.76,ST,10,allocation,12,2,O,IB9048,662
60518S,ATML 19JAN13 12.5 P,3/28/2011 15:59,ATML,2013-01-19 00:00:00,12.50,P,-5,2.892855,-1446.43,-1728.38,ST,10,allocation,12,3,O,IB9048,661
60518S,ATML 19JAN13 12.5 P,3/28/2011 15:59,ATML,2013-01-19 00:00:00,12.50,P,-5,2.892855,-1446.43,-1728.38,ST,10,allocation,12,4,O,IB9048,661
60518S,ATML 19JAN13 12.5 P,3/28/2011 15:59,ATML,2013-01-19 00:00:00,12.50,P,-10,2.892855,-2892.86,-3808.96,ST,10,allocation,12,5,O,IB9048,660
60518S,AMD 19JAN13 7.5 P,4/1/2011 12:14,AMD,2013-01-19 00:00:00,7.50,P,-6,1.406455,-843.87,-2250.69,ST,10,allocation,12,6,O,IB9048,625
60518S,AMD 19JAN13 7.5 P,4/1/2011 12:14,AMD,2013-01-19 00:00:00,7.50,P,-4,1.406455,-562.58,-1500.46,ST,10,allocation,12,7,O,IB9048,625
60518S,CAT 19JAN13 110.0 P,4/1/2011 13:20,CAT,2013-01-19 00:00:00,110.00,P,-2,16.896455,-3379.29,847.84,ST,5,allocation,12,8,O,IB9048,786
60518S,CAT 19JAN13 110.0 P,4/1/2011 13:20,CAT,2013-01-19 00:00:00,110.00,P,-3,16.896455,-5068.94,1271.76,ST,5,allocation,12,9,O,IB9048,786
60518S,BAC 19JAN13 12.5 P,4/4/2011 13:37,BAC,2013-01-19 00:00:00,12.50,P,-4,1.976455,-790.58,27.54,ST,4,allocation,12,10,O,IB9048,699
