filecode,Symbol,Trade_Time,Underlying,Expiry,Strike,O_Type,Xchange,Q,Price,C_Price,Proceeds,CommTax,Basis,Realized_PL,MTM_PL,Codes,TotalQ,bkrType,yr,inputLine,SecType
60518S,AXL 21JAN12 11.0 C,1/3/2012 13:26,AXL,2012-01-21 00:00:00,11.00,C,-,-8,0.25,0.23278,200,-4.2,-195.8,0,13.78,O,-8,order,12,1,O
60518S,AXL 18FEB12 12.0 C,1/3/2012 13:51,AXL,2012-02-18 00:00:00,12.00,C,-,-5,0.3,0.264196,150,-3.63,-146.37,0,17.9,O,-5,order,12,2,O
60518S,AXL,1/5/2012 11:27,AXL,,,,-,300,10.929967,11.12,-3278.99,-1.41,3280.4,0,57.01,P;O,300,order,12,3,S
60518S,ASH 18FEB12 70.0 C,1/9/2012 14:36,ASH,2012-02-18 00:00:00,70.00,C,-,-8,0.25,0.183315,200,-5.8,-194.2,0,53.35,O,-8,order,12,4,O
60518S,ASH 18FEB12 70.0 C,1/9/2012 14:43,ASH,2012-02-18 00:00:00,70.00,C,-,-8,0.25,0.183315,200,-5.8,-194.2,0,53.35,O,-8,order,12,5,O
60518S,CALX,1/13/2012 15:53,CALX,,,,-,600,7,6.99,-4200,-1.32,4201.32,0,-6,P;O,600,order,12,6,S
60518S,C 18FEB12 26.0 P,1/17/2012 12:49,C,2012-02-18 00:00:00,26.00,P,-,-10,0.62,0.724006,620,-7.26,-612.74,0,-104.01,O,-10,order,12,7,O
60518S,AAPL 18FEB12 420.0 P,1/18/2012 13:31,AAPL,2012-02-18 00:00:00,420.00,P,-,5,11.342,10.644308,-5671,-3.62,5674.62,0,-348.85,P;O,5,order,12,8,O
60518S,AAPL 18FEB12 415.0 P,1/18/2012 13:31,AAPL,2012-02-18 00:00:00,415.00,P,-,-5,9.512,8.966384,4756,-3.71,-4752.29,0,272.81,P;O,-5,order,12,9,O
60518S,AAPL 18FEB12 440.0 C,1/18/2012 13:31,AAPL,2012-02-18 00:00:00,440.00,C,-,-5,9.54,9.719951,4770,-3.71,-4766.29,0,-89.98,P;O,-5,order,12,10,O
60518S,AAPL 18FEB12 435.0 C,1/18/2012 13:31,AAPL,2012-02-18 00:00:00,435.00,C,-,5,11.71,11.852339,-5855,-3.62,5858.62,0,71.17,P;O,5,order,12,11,O
60518S,CALX,1/18/2012 15:11,CALX,,,,-,-600,7.35,7.51,4410,-1.41,-4201.32,207.27,-96,P;ML;C,-600,order,12,12,S
60518S,AMZN 18FEB12 180.0 P,1/19/2012 10:10,AMZN,2012-02-18 00:00:00,180.00,P,-,6,4.768333,4.136601,-2861,-4.35,2865.35,0,-379.04,P;O,6,order,12,13,O
60518S,AMZN 18FEB12 175.0 P,1/19/2012 10:10,AMZN,2012-02-18 00:00:00,175.00,P,-,-6,3.415,2.901676,2049,-4.39,-2044.61,0,307.99,P;O,-6,order,12,14,O
60518S,AMZN 18FEB12 205.0 C,1/19/2012 10:10,AMZN,2012-02-18 00:00:00,205.00,C,-,-6,5.426667,5.368161,3256,-4.41,-3251.59,0,35.1,P;O,-6,order,12,15,O
60518S,AMZN 18FEB12 200.0 C,1/19/2012 10:10,AMZN,2012-02-18 00:00:00,200.00,C,-,6,7.173333,7.178922,-4304,-4.35,4308.35,0,3.35,P;O,6,order,12,16,O
60518S,BJRI 18FEB12 45.0 C,1/19/2012 13:41,BJRI,2012-02-18 00:00:00,45.00,C,-,-2,2.05,1.628622,410,-1.46,-408.54,0,84.28,O,-2,order,12,17,O
60518S,AXL,1/20/2012 12:54,AXL,,,,-,800,11.29,11.31,-9032,-3.76,9035.76,0,16,P;O,800,order,12,18,S
60518S,BRCM 18FEB12 33.0 P,1/20/2012 15:10,BRCM,2012-02-18 00:00:00,33.00,P,-,22,0.86,0.746927,-1892,-9.65,1901.65,0,-248.76,P;O,22,order,12,19,O
60518S,BRCM 18FEB12 32.0 P,1/20/2012 15:10,BRCM,2012-02-18 00:00:00,32.00,P,-,-22,0.606364,0.50195,1334,-9.67,-1324.33,0,229.71,P;O,-22,order,12,20,O
60518S,BRCM 18FEB12 38.0 C,1/20/2012 15:10,BRCM,2012-02-18 00:00:00,38.00,C,-,-22,0.415455,0.453751,914,-9.67,-904.33,0,-84.25,P;O,-22,order,12,21,O
60518S,BRCM 18FEB12 37.0 C,1/20/2012 15:10,BRCM,2012-02-18 00:00:00,37.00,C,-,22,0.661818,0.692232,-1456,-9.65,1465.65,0,66.91,P;O,22,order,12,22,O
60518S,BSDM 21JAN12 5.0 C,1/20/2012 16:20,BSDM,2012-01-21 00:00:00,5.00,C,-,-47,0,0,0,0,-259.56,-259.56,0,Ep;C,-47,order,12,23,O
60518S,BAC 21JAN12 4.0 P,1/20/2012 16:20,BAC,2012-01-21 00:00:00,4.00,P,-,19,0,0,0,0,161.07,161.07,0,Ep;C,19,order,12,24,O
60518S,AXL 21JAN12 11.0 C,1/20/2012 16:20,AXL,2012-01-21 00:00:00,11.00,C,-,8,0,0.31,0,0,195.8,0,248,A;C,8,order,12,25,O
60518S,ALSK 21JAN12 5.0 P,1/20/2012 16:20,ALSK,2012-01-21 00:00:00,5.00,P,-,24,0,2.15,0,0,4024.98,0,5160,A;C,24,order,12,26,O
60518S,AXL,1/20/2012 16:20,AXL,,,,-,-800,11,11.31,8800,-0.17,-9035.76,-40.13,-248,A;ML;C,-800,order,12,27,S
60518S,ALSK,1/20/2012 16:20,ALSK,,,,-,2400,5,2.85,-12000,0,12000,0,-5160,A;O,2400,order,12,28,S
60518S,ABT 18FEB12 55.0 P,1/24/2012 10:53,ABT,2012-02-18 00:00:00,55.00,P,-,7,0.45,0.435461,-315,-5.07,320.07,0,-10.18,P;O,7,order,12,29,O
60518S,ABT 18FEB12 55.0 C,1/24/2012 10:53,ABT,2012-02-18 00:00:00,55.00,C,-,7,1.3,1.232166,-910,-5.07,915.07,0,-47.48,P;O,7,order,12,30,O
60518S,BA 18FEB12 75.0 P,1/24/2012 11:26,BA,2012-02-18 00:00:00,75.00,P,-,8,1.9825,1.95173,-1586,-6.16,1592.16,0,-24.62,P;O,8,order,12,31,O
60518S,BA 18FEB12 75.0 C,1/24/2012 11:26,BA,2012-02-18 00:00:00,75.00,C,-,8,2.0175,2.091948,-1614,-6.16,1620.16,0,59.56,P;O,8,order,12,32,O
60518S,BVSN,1/24/2012 13:11,BVSN,,,,-,-267,42.6,33.99,11374.2,-0.62,-3439.81,7933.77,2298.87,P;ML;C,-267,order,12,33,S
60518S,BVSN,1/24/2012 13:15,BVSN,,,,-,-100,43.3,33.99,4330,-0.58,-1262.8,3066.61,931,P;ML;C,-100,order,12,34,S
60518S,BVSN,1/24/2012 13:16,BVSN,,,,-,-200,43.49,33.99,8698,-0.47,-2524.29,6173.25,1900,ML;C,-200,order,12,35,S
60518S,ABT 18FEB12 55.0 P,1/24/2012 15:03,ABT,2012-02-18 00:00:00,55.00,P,-,-7,0.478571,0.435461,335,-3.6,-320.07,11.33,30.18,P;ML;C,-7,order,12,36,O
60518S,ABT 18FEB12 55.0 C,1/24/2012 15:03,ABT,2012-02-18 00:00:00,55.00,C,-,-7,1.322857,1.232166,926,-3.61,-915.07,7.32,63.48,P;ML;C,-7,order,12,37,O
60518S,AAPL 18FEB12 420.0 P,1/24/2012 15:20,AAPL,2012-02-18 00:00:00,420.00,P,-,-5,14.1,14.259327,7050,-3.76,-5674.62,1371.62,-79.66,ML;C,-5,order,12,38,O
