filecode,Symbol,Trade_Time,Underlying,Expiry,Strike,O_Type,Xchange,Q,Price,C_Price,Proceeds,CommTax,Basis,Realized_PL,MTM_PL,Codes,TotalQ,yr,inputLine,SecType,bkrGroup,account,LS,OC,multi
60518S,AXL 21JAN12 11.0 C,2012-01-03 13:26:39,AXL,2012-01-21 00:00:00,11.00,C,NASDAQOM,-8,0.25,0.23278,200.00,-4.2,-195.80,0.00,13.78,O,-8,12,1,O,663,IB9048,S,O,100
60518S,AXL 18FEB12 12.0 C,2012-01-03 13:51:46,AXL,2012-02-18 00:00:00,12.00,C,CBOE,-5,0.3,0.264196,150.00,-3.63,-146.37,0.00,17.9,O,-5,12,2,O,665,IB9048,S,O,100
60518S,AXL,2012-01-05 11:27:35,AXL,,,,ATD,100,10.9299,11.12,-1092.99,-0.82,1093.81,0.00,19.01,P;O,300,12,3,S,156,IB9048,L,O,1
60518S,AXL,2012-01-05 11:27:35,AXL,,,,IDEAL,100,10.93,11.12,-1093.00,-0.12,1093.12,0.00,19,P;O,300,12,4,S,157,IB9048,L,O,1
60518S,AXL,2012-01-05 11:27:35,AXL,,,,IDEAL,100,10.93,11.12,-1093.00,-0.47,1093.47,0.00,19,P;O,300,12,5,S,158,IB9048,L,O,1
60518S,ASH 18FEB12 70.0 C,2012-01-09 14:36:44,ASH,2012-02-18 00:00:00,70.00,C,CBOE,-8,0.25,0.183315,200.00,-5.8,-194.20,0.00,53.35,O,-8,12,6,O,654,IB9048,S,O,100
60518S,ASH 18FEB12 70.0 C,2012-01-09 14:43:49,ASH,2012-02-18 00:00:00,70.00,C,CBOE,-8,0.25,0.183315,200.00,-5.8,-194.20,0.00,53.35,O,-8,12,7,O,655,IB9048,S,O,100
60518S,CALX,2012-01-13 15:53:06,CALX,,,,NYSE,100,7,6.99,-700.00,-0.57,700.57,0.00,-1,P;O,600,12,8,S,210,IB9048,L,O,1
60518S,CALX,2012-01-13 15:56:47,CALX,,,,NYSE,100,7,6.99,-700.00,0.13,699.87,0.00,-1,P;O,600,12,9,S,211,IB9048,L,O,1
60518S,CALX,2012-01-13 15:56:51,CALX,,,,NYSE,169,7,6.99,-1183.00,-0.37,1183.37,0.00,-1.69,P;O,600,12,10,S,212,IB9048,L,O,1
60518S,CALX,2012-01-13 15:57:22,CALX,,,,NYSE,231,7,6.99,-1617.00,-0.51,1617.51,0.00,-2.31,P;O,600,12,11,S,213,IB9048,L,O,1
60518S,C 18FEB12 26.0 P,2012-01-17 12:49:29,C,2012-02-18 00:00:00,26.00,P,CBOE,-10,0.62,0.724006,620.00,-7.26,-612.74,0.00,-104.01,O,-10,12,12,O,757,IB9048,S,O,100
60518S,AAPL 18FEB12 435.0 C,2012-01-18 13:31:17,AAPL,2012-02-18 00:00:00,435.00,C,ISE,1,11.71,11.852339,-1171.00,-1.02,1172.02,0.00,14.23,P;O,5,12,13,O,539,IB9048,L,O,100
60518S,AAPL 18FEB12 440.0 C,2012-01-18 13:31:17,AAPL,2012-02-18 00:00:00,440.00,C,ISE,-1,9.54,9.719951,954.00,-1.04,-952.96,0.00,-18,P;O,-5,12,14,O,542,IB9048,S,O,100
60518S,AAPL 18FEB12 415.0 P,2012-01-18 13:31:17,AAPL,2012-02-18 00:00:00,415.00,P,ISE,-1,9.52,8.966384,952.00,-1.04,-950.96,0.00,55.36,P;O,-5,12,15,O,546,IB9048,S,O,100
60518S,AAPL 18FEB12 420.0 P,2012-01-18 13:31:17,AAPL,2012-02-18 00:00:00,420.00,P,ISE,1,11.35,10.644308,-1135.00,-1.02,1136.02,0.00,-70.57,P;O,5,12,16,O,549,IB9048,L,O,100
60518S,AAPL 18FEB12 435.0 C,2012-01-18 13:31:27,AAPL,2012-02-18 00:00:00,435.00,C,ISE,4,11.71,11.852339,-4684.00,-2.6,4686.60,0.00,56.94,P;O,5,12,17,O,540,IB9048,L,O,100
60518S,AAPL 18FEB12 440.0 C,2012-01-18 13:31:27,AAPL,2012-02-18 00:00:00,440.00,C,ISE,-4,9.54,9.719951,3816.00,-2.67,-3813.33,0.00,-71.98,P;O,-5,12,18,O,543,IB9048,S,O,100
60518S,AAPL 18FEB12 415.0 P,2012-01-18 13:31:27,AAPL,2012-02-18 00:00:00,415.00,P,ISE,-4,9.51,8.966384,3804.00,-2.67,-3801.33,0.00,217.45,P;O,-5,12,19,O,547,IB9048,S,O,100
60518S,AAPL 18FEB12 420.0 P,2012-01-18 13:31:27,AAPL,2012-02-18 00:00:00,420.00,P,ISE,4,11.34,10.644308,-4536.00,-2.6,4538.60,0.00,-278.28,P;O,5,12,20,O,550,IB9048,L,O,100
60518S,CALX,2012-01-18 15:11:34,CALX,,,,NYSE,-100,7.35,7.51,735.00,-0.58,-700.57,33.84,-16,P;ML;C,-600,12,21,S,214,IB9048,S,C,1
60518S,CALX,2012-01-18 15:11:34,CALX,,,,NYSE,-400,7.35,7.51,2940.00,-0.59,-2800.88,138.53,-64,P;ML;C,-600,12,22,S,215,IB9048,S,C,1
60518S,CALX,2012-01-18 15:11:34,CALX,,,,NYSE,-100,7.35,7.51,735.00,-0.23,-699.87,34.90,-16,P;ML;C,-600,12,23,S,216,IB9048,S,C,1
60518S,AMZN 18FEB12 200.0 C,2012-01-19 10:10:04,AMZN,2012-02-18 00:00:00,200.00,C,ISE,1,7.09,7.178922,-709.00,-1.02,710.02,0.00,8.89,P;O,6,12,24,O,628,IB9048,L,O,100
